Category,CategoryLevel1,CategoryLevel2,Legend,LegendLevel1,LegendLevel2,Group,GroupLevel1,GroupLevel2,Start,End,StartDate,EndDate,StartHierarchy,EndHierarchy,StartLabel,EndLabel
Mesopotamian civilization,Ancient,Mesopotamia,Middle East,Afro Eurasia,Middle East,ANCIENT WORLD,Ancient,Early,-3500,-550,,,BCE deep antiquity,BCE late antiquity,,
Egyptian civilization,Ancient,Egypt,Middle East,Afro Eurasia,Nile region,ANCIENT WORLD,Ancient,Early,-3000,-550,,,BCE deep antiquity,BCE late antiquity,,
Roman Republic,Ancient,Rome,Europe,Europe,South Europe,ANCIENT WORLD,Ancient,Classical,-500,0,,,500s BCE,turn of era,,
Roman Empire,Ancient,Rome,Europe,Europe,South Europe,ANCIENT WORLD,Ancient,Late,0,500,0001-01-01,0500-01-01,year 1,500s,founding era,late antiquity
Aegean civilization,Ancient,Aegean,Europe,Europe,South Europe,ANCIENT WORLD,Ancient,Bronze,-2000,-1200,,,2000s BCE,1200s BCE,,
Medieval Europe,Medieval,Europe,Europe,Europe,West Europe,MEDIEVAL WORLD,Medieval,Core,500,1500,0500-01-01,1500-01-01,500s,1500s,,
Medieval China,Medieval,China,East Asia,Asia,East Asia,MEDIEVAL WORLD,Medieval,Core,500,1500,0500-01-01,1500-01-01,500s,1500s,,
Shogunate,Medieval,Japan,East Asia,Asia,East Asia,MEDIEVAL WORLD,Medieval,Late,1200,1870,1200-01-01,1870-01-01,1200s,1800s,,
Mongol Empire,Medieval,Steppe,Steppe,Asia,Inner Asia,MEDIEVAL WORLD,Medieval,Imperial,1200,1300,1200-01-01,1300-01-01,1200s,1300s,,
Mughal Empire,Modern,South Asia,South Asia,Asia,South Asia,MODERN WORLD,Modern,Early,1500,1800,1500-01-01,1800-01-01,1500s,1800s,,
Early modern Europe,Modern,Europe,Europe,Europe,West Europe,MODERN WORLD,Modern,Early,1500,1800,1500-01-01,1800-01-01,1500s,1800s,,
Colonial Americas,Modern,Americas,Americas,Americas,North America,MODERN WORLD,Modern,Colonial,1500,1776,1500-01-01,1776-07-04,1500s,1700s,,independence
British India,Modern,South Asia,South Asia,Asia,South Asia,MODERN WORLD,Modern,Colonial,1800,1945,1800-01-01,1945-08-15,1800s,1940s,,WWII
Industrial Europe,Modern,Europe,Europe,Europe,West Europe,MODERN WORLD,Modern,Industrial,1800,1914,1800-01-01,1914-07-28,1800s,1910s,,WWI
Imperial Japan,Modern,Japan,East Asia,Asia,East Asia,MODERN WORLD,Modern,Imperial,1868,1945,1868-01-01,1945-09-02,1800s,1940s,,WWII
Republic of China,Modern,China,East Asia,Asia,East Asia,MODERN WORLD,Modern,Transition,1912,1949,1912-01-01,1949-10-01,1910s,1940s,,
Peoples Republic of China,Modern,China,East Asia,Asia,East Asia,MODERN WORLD,Modern,Contemporary,1949,2035,1949-10-01,2035-12-31,1940s,2030s,,extended
Modern Europe,Modern,Europe,Europe,Europe,West Europe,MODERN WORLD,Modern,Contemporary,1945,2035,1945-05-08,2035-12-31,1940s,2030s,WWII,extended
Modern India,Modern,South Asia,South Asia,Asia,South Asia,MODERN WORLD,Modern,Contemporary,1947,2035,1947-08-15,2035-12-31,1940s,2030s,,extended
Modern Africa,Modern,Africa,Sub Saharan Africa,Africa,Sub Saharan Africa,MODERN WORLD,Modern,Contemporary,1960,2035,1960-01-01,2035-12-31,1960s,2030s,,extended
Superpower US,Modern,United States,Americas,Americas,North America,MODERN WORLD,Modern,Contemporary,1945,2035,1945-09-02,2035-12-31,1940s,2030s,WWII,extended
Contemporary world,Contemporary,Global,World,Global,Global,CONTEMPORARY WORLD,Contemporary,Current,2018,2035,2018-01-01,2035-01-01,2010s,2030s,present,today-plus
Near future world,Contemporary,Global,World,Global,Global,CONTEMPORARY WORLD,Contemporary,Future,2025,2050,2025-01-01,2050-01-01,2020s,2050s,future,horizon
